ID,jumlah_promosi
2241,0
2274,0
1107,2
4478,0
5080,6
5725,0
456,0
1711,0
2940,2
3031,0
3551,1
5987,6
6925,0
5735,0
298,1
4020,0
3127,0
7432,6
7375,6
1996,0
5966,0
6697,6
3544,2
7122,6
1379,0
505,0
224,0
3024,0
2946,0
153,3
229,2
7411,6
2655,0
6972,6
320,0
5205,0
2454,0
3482,0
6708,0
3028,0
5747,0
787,6
6608,1
3188,0
5995,6
10,0
1556,0
2100,2
4496,0
6847,6
2681,0
570,1
4800,0
5642,0
6813,0
5820,6
3731,2
4586,1
6650,6
2024,0
3512,2
2532,0
3640,6
129,0
6712,6
6460,0
5050,0
4665,0
4532,2
2434,0
4832,0
5451,6
6220,0
1922,0
7414,6
4959,6
2165,0
7523,6
1448,0
2121,2
6991,6
6533,6
152,6
2474,0
6976,0
1208,0
6369,2
907,0
4663,6
2063,0
524,1
7455,6
5072,0
2293,0
7116,0
3319,0
5402,0
2703,0
3903,2
5498,0
3829,2
2327,1
5221,0
5517,0
3692,6
5198,2
2742,2
6303,6
1484,0
3124,0
2764,0
426,0
4334,0
1115,0
988,0
6412,6
681,0
4240,3
3757,2
3711,2
5911,0
6818,3
3933,6
5153,0
407,0
2665,2
6272,0
117,6
3536,0
5828,0
773,1
7026,6
4269,0
4874,3
6374,6
445,0
2019,0
3235,2
4380,0
4795,2
4221,3
5770,0
7457,6
4504,0
1818,0
227,0
3716,0
7568,3
4983,2
6101,0
601,0
6660,6
7578,6
5884,6
3296,1
6114,0
5306,0
93,0
6397,0
5393,0
5739,0
5782,0
4238,0
7349,0
7600,6
1841,2
2862,0
6413,6
337,0
84,0
5332,0
4147,2
5435,0
2462,0
6565,0
4895,3
1056,0
203,0
5183,0
376,3
2303,0
1659,0
6393,0
6433,0
3562,0
868,0
3374,2
2315,0
1822,0
2008,0
2290,0
6926,0
3914,1
4054,0
2072,2
1177,0
7402,6
4158,1
6495,0
6432,0
4853,0
5307,0
3661,0
5954,0
4273,0
4525,0
4989,2
4690,0
1071,0
537,0
1350,0
3079,2
4217,0
5453,0
5783,0
7456,0
6798,6
6197,6
6095,6
923,0
4290,0
2492,0
7562,6
2269,1
6988,2
4460,2
1285,0
6941,6
7620,6
382,1
2510,0
4357,6
6875,0
1929,0
5649,0
5250,6
1061,0
7593,0
6523,2
2284,0
431,0
2423,0
6352,6
5567,0
4403,0
1336,0
1138,0
5659,0
1597,0
101,0
796,0
5711,6
2173,0
4821,2
7461,3
3248,0
7308,0
3528,1
256,0
6502,6
7154,0
3098,0
6184,6
70,0
1282,2
3273,0
2741,2
2481,2
1920,0
4328,2
5874,0
7174,2
5842,0
7127,6
4224,3
5975,6
4200,2
2806,0
6458,0
5571,0
1777,1
4184,2
457,0
4303,0
6999,0
3876,0
2353,2
273,0
774,2
7347,6
5582,0
1414,6
1116,0
766,6
5340,0
913,2
5937,0
2363,2
504,2
5556,0
2417,0
1020,1
4678,0
6671,6
6643,0
6018,0
5367,6
3141,3
2362,2
2180,0
